trial,focal_length,simulation_success,focal_length_mm,plate_scale_arcsec_per_pixel,centroid_accuracy_pixels,bearing_error_arcsec,attitude_error_arcsec,centroid_accuracy_um,bearing_error_vector_arcsec
0,25.03878766075313,True,25.03878766075313,45.30796178032316,,,,,
1,25.042172413817223,True,25.042172413817223,45.30183786024428,,,,,
2,25.08670090720754,True,25.08670090720754,45.22142782166684,,,,,
3,25.058321104689618,True,25.058321104689618,45.27264335146214,,,,,
4,25.03969460162258,True,25.03969460162258,45.30632072028214,,,,,
5,24.997538421041842,True,24.997538421041842,45.382725900886854,,,,,
6,24.84792502014324,True,24.84792502014324,45.655982680218585,,,,,
7,24.95990634294976,True,24.95990634294976,45.45114948636301,,,,,
8,24.957219687480947,True,24.957219687480947,45.456042322218146,,,,,
9,25.107094933491485,True,25.107094933491485,45.1846952968552,,,,,
10,25.06175628109457,True,25.06175628109457,45.266437899837506,,,,,
11,24.907776599459854,True,24.907776599459854,45.546274667632574,,,,,
12,25.118488603175344,True,25.118488603175344,45.164199657124996,,,,,
13,25.002889354086463,True,25.002889354086463,45.37301342629086,,,,,
14,25.044682572100946,True,25.044682572100946,45.297297384107466,,,,,
15,24.978765108901808,True,24.978765108901808,45.41683423552183,,,,,
16,24.99591225637329,True,24.99591225637329,45.38567837506206,,,,,
17,24.917545066984513,True,24.917545066984513,45.52841908419674,,,,,
18,24.926606771125783,True,24.926606771125783,45.51186789182832,,,,,
19,25.056584805102144,True,25.056584805102144,45.275780525685455,,,,,
20,25.036816319583988,True,25.036816319583988,45.31152922473012,,,,,
21,25.0606779020241,True,25.0606779020241,45.268385747354515,,,,,
22,25.14016548767789,True,25.14016548767789,45.12525722692909,,,,,
23,24.98446833713849,True,24.98446833713849,45.406466891781015,,,,,
24,24.987358842308524,True,24.987358842308524,45.401214330750776,,,,,
25,24.96945890496032,True,24.96945890496032,45.433761247171596,,,,,
26,25.00799292322718,True,25.00799292322718,45.36375381429982,,,,,
27,25.108199884372926,True,25.108199884372926,45.18270682818259,,,,,
28,25.021520571409102,True,25.021520571409102,45.339228330324545,,,,,
29,25.033089923959285,True,25.033089923959285,45.31827424441265,,,,,
30,24.937395800727078,True,24.937395800727078,45.492177428003664,,,,,
31,25.05659363197214,True,25.05659363197214,45.275764576054215,,,,,
32,24.949443048371773,True,24.949443048371773,45.47021078424698,,,,,
33,25.101822853438026,True,25.101822853438026,45.194185337964456,,,,,
34,25.029469502781804,True,25.029469502781804,45.32482936695663,,,,,
